Longitude	Latitude	Name
-84.653778	38.889471	Steppin' Hi Stables
-84.424057	39.097163	Stratus Helicopters
-84.696178	38.80787	Sun Arab Stables
-84.503044	39.101715	Taft Museum
-84.507227	39.101621	Taft Theatre
-84.263206	39.360741	The Beach Waterpark
-84.507818	39.08012	The Carnegie Visual and Performing Arts Center
-84.423698	39.141212	The Mushroom House
-84.636162	39.021633	Turfway Park
-84.504088	39.097929	U.S. Bank Arena
-84.520615	39.129707	University of Cincinnati
-84.551834	39.053101	Vent Haven Museum
-84.507044	39.108767	Verdin Bell & Clock Museum
-84.36378	39.36193	Voice of America MetroPark
-84.481669	39.088611	Wiedemann Hill Mansion
-84.508156	39.119518	William Howard Taft National Historic Site
-84.495819	39.092201	World Peace Bell
-84.476402	39.149036	Xavier University
-84.429413	39.129871	Zip's Cafe
-81.0746	34.0108	Riverbanks Zoo Entrance
-81.0845	34.008	Riverbanks Botanical Garden Entrance
-81.0199	33.9741	Williams-Brice Stadium
-81.027	33.9833	Capital City Stadium
-81.0476	33.9974	Edventure Children's Museum
-81.0476	33.9974	S.C. State Museum
-81.0302	33.9978	USC Horseshoe
-81.0509	34.0048	Columbia Riverfront Park
-81.0425	34.0063	Finlay Park
-81.0416	34.0022	Memorial Park
-81.0339	33.9934	Carolina Coliseum
-81.0334	33.9959	Koger Center for the Arts
-81.0377	33.9976	Columbia Convention Center
-81.2213	34.0634	Lake Murray Dam--Irmo Ramp/Parking
-81.2184	34.0357	Lake Murray Dam--Picnic/Beach
-81.0365	33.995	Colonial Center
-81.0348	34.0002	State House
-81.1868	34.0533	Saluda Shoals Park
-81.1546	34.0833	Frankie's Fun Park
-81.0501	34.0058	Columbia Marionette Theatre
-81.2398	33.9891	Village Square Theatre (Lexington)
-81.0276	34.0093	Township Auditorium
-81.125	34.0769	Criminal Justice Hall of Fame
-81.0371	34.0043	Richland County Library Main Branch
-81.0195	33.9794	S.C. State Fairgrounds Entrance
-81.021	33.9724	S.C. Farmers Market
-81.1568	34.0759	Columbiana Shopping Centre
